Id,Chinese,Math,English
1,66,70,57
2,67,71,59
3,68,72,60
4,70,73,62
5,71,74,63
6,72,75,64
7,73,75,65
8,73,76,67
9,74,77,68
10,75,77,69
11,76,78,70
12,76,78,71
13,77,79,72
14,78,79,73
15,78,79,74
16,78,79,75
17,79,79,75
18,79,79,76
19,79,79,77
20,79,79,77
21,79,79,78
,79,79,78
23,79,78,79
24,79,78,79
25,79,77,79
,79,77,79
27,78,76,79
28,78,76,79
29,77,75,79
30,,74,79
31,76,73,79
32,75,72,79
33,74,71,78
,73,70,78
35,73,69,77
36,72,68,77
37,71,67,76
38,70,66,76
39,68,65,75
40,67,63,74
,67,63,74
42,65,61,72
43,64,59,71
44,62,58,70
45,62,58,70
46,60,55,68
,58,54,67
48,57,52,66
49,56,51,65
50,54,49,63
